newTimes,utc,hour,minute,date
518,08:38,8,38,NA
918,15:18,15,18,NA
479,07:59,7,59,NA
282,04:42,4,42,NA
1085,18:05,18,5,NA
143,02:23,2,23,NA
655,10:55,10,55,NA
715,11:55,11,55,NA
836,13:56,13,56,NA
493,08:13,8,13,NA
682,11:22,11,22,NA
1369,22:49,22,49,NA
664,11:04,11,4,NA
1253,20:53,20,53,NA
1290,21:30,21,30,NA
838,13:58,13,58,NA
578,09:38,9,38,NA
222,03:42,3,42,NA
1328,22:08,22,8,NA
431,07:11,7,11,NA
93,01:33,1,33,NA
1339,22:19,22,19,NA
966,16:06,16,6,NA
219,03:39,3,39,NA
740,12:20,12,20,NA
1332,22:12,22,12,NA
792,13:12,13,12,NA
560,09:20,9,20,NA
870,14:30,14,30,NA
444,07:24,7,24,NA
432,07:12,7,12,NA
305,05:05,5,5,NA
523,08:43,8,43,NA
1358,22:38,22,38,NA
224,03:44,3,44,NA
132,02:12,2,12,NA
217,03:37,3,37,NA
908,15:08,15,8,NA
817,13:37,13,37,NA
1177,19:37,19,37,NA
882,14:42,14,42,NA
955,15:55,15,55,NA
686,11:26,11,26,NA
860,14:20,14,20,NA
1062,17:42,17,42,NA
1020,17:00,17,0,NA
1310,21:50,21,50,NA
589,09:49,9,49,NA
425,07:05,7,5,NA
550,09:10,9,10,NA
17,00:17,0,17,NA
257,04:17,4,17,NA
1071,17:51,17,51,NA
306,05:06,5,6,NA
337,05:37,5,37,NA
115,01:55,1,55,NA
342,05:42,5,42,NA
924,15:24,15,24,NA
1065,17:45,17,45,NA
640,10:40,10,40,NA
521,08:41,8,41,NA
341,05:41,5,41,NA
150,02:30,2,30,NA
1297,21:37,21,37,NA
717,11:57,11,57,NA
289,04:49,4,49,NA
570,09:30,9,30,NA
1286,21:26,21,26,NA
634,10:34,10,34,NA
455,07:35,7,35,NA
808,13:28,13,28,NA
494,08:14,8,14,NA
1271,21:11,21,11,NA
657,10:57,10,57,NA
1368,22:48,22,48,NA
1275,21:15,21,15,NA
532,08:52,8,52,NA
352,05:52,5,52,NA
769,12:49,12,49,NA
239,03:59,3,59,NA
1044,17:24,17,24,NA
905,15:05,15,5,NA
810,13:30,13,30,NA
745,12:25,12,25,NA
1435,23:55,23,55,NA
646,10:46,10,46,NA
1235,20:35,20,35,NA
701,11:41,11,41,NA
991,16:31,16,31,NA
387,06:27,6,27,NA
846,14:06,14,6,NA
1352,22:32,22,32,NA
704,11:44,11,44,NA
1351,22:31,22,31,NA
1408,23:28,23,28,NA
661,11:01,11,1,NA
1063,17:43,17,43,NA
1052,17:32,17,32,NA
350,05:50,5,50,NA
388,06:28,6,28,NA
1155,19:15,19,15,NA
718,11:58,11,58,NA
1075,17:55,17,55,NA
556,09:16,9,16,NA
496,08:16,8,16,NA
760,12:40,12,40,NA
203,03:23,3,23,NA
1260,21:00,21,0,NA
290,04:50,4,50,NA
1086,18:06,18,6,NA
688,11:28,11,28,NA
602,10:02,10,2,NA
484,08:04,8,4,NA
986,16:26,16,26,NA
1384,23:04,23,4,NA
355,05:55,5,55,NA
207,03:27,3,27,2/19/17
1073,17:53,17,53,2/20/17
206,03:26,3,26,2/21/17
1126,18:46,18,46,2/22/17
885,14:45,14,45,2/23/17
1191,19:51,19,51,2/24/17
40,00:40,0,40,2/25/17
1335,22:15,22,15,2/26/17
1299,21:39,21,39,2/27/17
1316,21:56,21,56,2/28/17
826,13:46,13,46,3/1/17
400,06:40,6,40,3/2/17
573,09:33,9,33,3/3/17
317,05:17,5,17,3/4/17
1032,17:12,17,12,3/5/17
152,02:32,2,32,3/6/17
294,04:54,4,54,3/7/17
76,01:16,1,16,3/8/17
68,01:08,1,8,3/9/17
1197,19:57,19,57,3/10/17
1001,16:41,16,41,3/11/17
1216,20:16,20,16,3/12/17
1217,20:17,20,17,3/13/17
1013,16:53,16,53,3/14/17
129,02:09,2,9,3/15/17
693,11:33,11,33,3/16/17
757,12:37,12,37,3/17/17
392,06:32,6,32,3/18/17
1293,21:33,21,33,3/19/17
123,02:03,2,3,3/20/17
607,10:07,10,7,3/21/17
381,06:21,6,21,3/22/17
1076,17:56,17,56,3/23/17
1311,21:51,21,51,3/24/17
1193,19:53,19,53,3/25/17
774,12:54,12,54,3/26/17
286,04:46,4,46,3/27/17
2,00:02,0,2,3/28/17
820,13:40,13,40,3/29/17
390,06:30,6,30,3/30/17
308,05:08,5,8,3/31/17
747,12:27,12,27,4/1/17
293,04:53,4,53,4/2/17
899,14:59,14,59,4/3/17
785,13:05,13,5,4/4/17
1172,19:32,19,32,4/5/17
1340,22:20,22,20,4/6/17
1084,18:04,18,4,4/7/17
1107,18:27,18,27,4/8/17
113,01:53,1,53,4/9/17
1174,19:34,19,34,4/10/17
135,02:15,2,15,4/11/17
839,13:59,13,59,4/12/17
700,11:40,11,40,4/13/17
393,06:33,6,33,4/14/17
1122,18:42,18,42,4/15/17
1270,21:10,21,10,4/16/17
1324,22:04,22,4,4/17/17
999,16:39,16,39,4/18/17
254,04:14,4,14,4/19/17
675,11:15,11,15,4/20/17
853,14:13,14,13,4/21/17
512,08:32,8,32,4/22/17
719,11:59,11,59,4/23/17
1132,18:52,18,52,4/24/17
759,12:39,12,39,4/25/17
1250,20:50,20,50,4/26/17
909,15:09,15,9,4/27/17
1272,21:12,21,12,4/28/17
276,04:36,4,36,4/29/17
345,05:45,5,45,4/30/17
1226,20:26,20,26,5/1/17
412,06:52,6,52,5/2/17
46,00:46,0,46,5/3/17
411,06:51,6,51,5/4/17
1029,17:09,17,9,5/5/17
18,00:18,0,18,5/6/17
1347,22:27,22,27,5/7/17
1366,22:46,22,46,5/8/17
82,01:22,1,22,5/9/17
462,07:42,7,42,5/10/17
185,03:05,3,5,5/11/17
1323,22:03,22,3,5/12/17
53,00:53,0,53,5/13/17
1394,23:14,23,14,5/14/17
677,11:17,11,17,5/15/17
511,08:31,8,31,5/16/17
415,06:55,6,55,5/17/17
731,12:11,12,11,5/18/17
30,00:30,0,30,5/19/17
20,00:20,0,20,5/20/17
821,13:41,13,41,5/21/17
793,13:13,13,13,5/22/17
6,00:06,0,6,5/23/17
993,16:33,16,33,5/24/17
1030,17:10,17,10,5/25/17
577,09:37,9,37,5/26/17
706,11:46,11,46,5/27/17
258,04:18,4,18,5/28/17
1006,16:46,16,46,5/29/17
854,14:14,14,14,5/30/17
823,13:43,13,43,5/31/17
184,03:04,3,4,6/1/17
1209,20:09,20,9,6/2/17
837,13:57,13,57,6/3/17
985,16:25,16,25,6/4/17
1350,22:30,22,30,6/5/17
1153,19:13,19,13,6/6/17
732,12:12,12,12,6/7/17
1045,17:25,17,25,6/8/17
832,13:52,13,52,6/9/17
204,03:24,3,24,6/10/17
346,05:46,5,46,6/11/17
1150,19:10,19,10,6/12/17
960,16:00,16,0,6/13/17
1047,17:27,17,27,6/14/17
930,15:30,15,30,6/15/17
902,15:02,15,2,6/16/17
1010,16:50,16,50,6/17/17
273,04:33,4,33,6/18/17
592,09:52,9,52,6/19/17
394,06:34,6,34,6/20/17
166,02:46,2,46,6/21/17
1125,18:45,18,45,6/22/17
486,08:06,8,6,6/23/17
1292,21:32,21,32,6/24/17
60,01:00,1,0,6/25/17
545,09:05,9,5,6/26/17
475,07:55,7,55,6/27/17
1175,19:35,19,35,6/28/17
237,03:57,3,57,6/29/17
606,10:06,10,6,6/30/17
663,11:03,11,3,7/1/17
1317,21:57,21,57,7/2/17
565,09:25,9,25,7/3/17
417,06:57,6,57,7/4/17
1190,19:50,19,50,7/5/17
1239,20:39,20,39,7/6/17
1342,22:22,22,22,7/7/17
161,02:41,2,41,7/8/17
353,05:53,5,53,7/9/17
1028,17:08,17,8,7/10/17
1218,20:18,20,18,7/11/17
834,13:54,13,54,7/12/17
356,05:56,5,56,7/13/17
1169,19:29,19,29,7/14/17
954,15:54,15,54,7/15/17
124,02:04,2,4,7/16/17
1022,17:02,17,2,7/17/17
522,08:42,8,42,7/18/17
690,11:30,11,30,7/19/17
639,10:39,10,39,7/20/17
783,13:03,13,3,7/21/17
1011,16:51,16,51,7/22/17
1027,17:07,17,7,7/23/17
828,13:48,13,48,7/24/17
609,10:09,10,9,7/25/17
301,05:01,5,1,7/26/17
800,13:20,13,20,7/27/17
1251,20:51,20,51,7/28/17
1054,17:34,17,34,7/29/17
427,07:07,7,7,7/30/17
1380,23:00,23,0,7/31/17
784,13:04,13,4,8/1/17
665,11:05,11,5,8/2/17
299,04:59,4,59,8/3/17
1171,19:31,19,31,8/4/17
1343,22:23,22,23,8/5/17
791,13:11,13,11,8/6/17
121,02:01,2,1,8/7/17
155,02:35,2,35,8/8/17
1204,20:04,20,4,8/9/17
288,04:48,4,48,8/10/17
1336,22:16,22,16,8/11/17
796,13:16,13,16,8/12/17
1154,19:14,19,14,8/13/17
1266,21:06,21,6,8/14/17
1195,19:55,19,55,8/15/17
347,05:47,5,47,8/16/17
5,00:05,0,5,8/17/17
767,12:47,12,47,8/18/17
629,10:29,10,29,8/19/17
1164,19:24,19,24,8/20/17
323,05:23,5,23,8/21/17
1425,23:45,23,45,8/22/17
498,08:18,8,18,8/23/17
310,05:10,5,10,8/24/17
200,03:20,3,20,8/25/17
581,09:41,9,41,8/26/17
42,00:42,0,42,8/27/17
840,14:00,14,0,8/28/17
334,05:34,5,34,8/29/17
349,05:49,5,49,8/30/17
1334,22:14,22,14,8/31/17
252,04:12,4,12,9/1/17
264,04:24,4,24,9/2/17
251,04:11,4,11,9/3/17
83,01:23,1,23,9/4/17
1337,22:17,22,17,9/5/17
1202,20:02,20,2,9/6/17
187,03:07,3,7,9/7/17
307,05:07,5,7,9/8/17
1353,22:33,22,33,9/9/17
728,12:08,12,8,9/10/17
998,16:38,16,38,9/11/17
358,05:58,5,58,9/12/17
514,08:34,8,34,9/13/17
94,01:34,1,34,9/14/17
107,01:47,1,47,9/15/17
673,11:13,11,13,9/16/17
1345,22:25,22,25,9/17/17
50,00:50,0,50,9/18/17
1341,22:21,22,21,9/19/17
679,11:19,11,19,9/20/17
1023,17:03,17,3,9/21/17
218,03:38,3,38,9/22/17
549,09:09,9,9,9/23/17
735,12:15,12,15,9/24/17
689,11:29,11,29,9/25/17
1396,23:16,23,16,9/26/17
1304,21:44,21,44,9/27/17
97,01:37,1,37,9/28/17
1192,19:52,19,52,9/29/17
26,00:26,0,26,9/30/17
368,06:08,6,8,10/1/17
1160,19:20,19,20,10/2/17
1046,17:26,17,26,10/3/17
470,07:50,7,50,10/4/17
472,07:52,7,52,10/5/17
874,14:34,14,34,10/6/17
298,04:58,4,58,10/7/17
262,04:22,4,22,10/8/17
748,12:28,12,28,10/9/17
1112,18:32,18,32,10/10/17
1058,17:38,17,38,10/11/17
576,09:36,9,36,10/12/17
66,01:06,1,6,10/13/17
599,09:59,9,59,10/14/17
240,04:00,4,0,10/15/17
630,10:30,10,30,10/16/17
593,09:53,9,53,10/17/17
1338,22:18,22,18,10/18/17
1333,22:13,22,13,10/19/17
324,05:24,5,24,10/20/17
1375,22:55,22,55,10/21/17
1067,17:47,17,47,10/22/17
564,09:24,9,24,10/23/17
961,16:01,16,1,10/24/17
31,00:31,0,31,10/25/17
51,00:51,0,51,10/26/17
446,07:26,7,26,10/27/17
778,12:58,12,58,10/28/17
1208,20:08,20,8,10/29/17
44,00:44,0,44,10/30/17
965,16:05,16,5,10/31/17
1137,18:57,18,57,11/1/17
110,01:50,1,50,11/2/17
1187,19:47,19,47,11/3/17
618,10:18,10,18,11/4/17
405,06:45,6,45,11/5/17
481,08:01,8,1,11/6/17
469,07:49,7,49,11/7/17
904,15:04,15,4,11/8/17
997,16:37,16,37,11/9/17
780,13:00,13,0,11/10/17
338,05:38,5,38,11/11/17
1048,17:28,17,28,11/12/17
242,04:02,4,2,11/13/17
1008,16:48,16,48,11/14/17
21,00:21,0,21,11/15/17
1395,23:15,23,15,11/16/17
478,07:58,7,58,11/17/17
622,10:22,10,22,11/18/17
1213,20:13,20,13,11/19/17
798,13:18,13,18,11/20/17
367,06:07,6,7,11/21/17
746,12:26,12,26,11/22/17
847,14:07,14,7,11/23/17
1144,19:04,19,4,11/24/17
71,01:11,1,11,11/25/17
1385,23:05,23,5,11/26/17
539,08:59,8,59,11/27/17
750,12:30,12,30,11/28/17
1377,22:57,22,57,11/29/17
1188,19:48,19,48,11/30/17
621,10:21,10,21,12/1/17
414,06:54,6,54,12/2/17
795,13:15,13,15,12/3/17
87,01:27,1,27,12/4/17
752,12:32,12,32,12/5/17
295,04:55,4,55,12/6/17
698,11:38,11,38,12/7/17
1415,23:35,23,35,12/8/17
969,16:09,16,9,12/9/17
402,06:42,6,42,12/10/17
1134,18:54,18,54,12/11/17
660,11:00,11,0,12/12/17
637,10:37,10,37,12/13/17
913,15:13,15,13,12/14/17
1136,18:56,18,56,12/15/17
597,09:57,9,57,12/16/17
1003,16:43,16,43,12/17/17
77,01:17,1,17,12/18/17
1428,23:48,23,48,12/19/17
582,09:42,9,42,12/20/17
296,04:56,4,56,12/21/17
1157,19:17,19,17,12/22/17
638,10:38,10,38,12/23/17
1098,18:18,18,18,12/24/17
861,14:21,14,21,12/25/17
275,04:35,4,35,12/26/17
438,07:18,7,18,12/27/17
112,01:52,1,52,12/28/17
723,12:03,12,3,12/29/17
799,13:19,13,19,12/30/17
680,11:20,11,20,12/31/17
225,03:45,3,45,1/1/18
1376,22:56,22,56,1/2/18
1243,20:43,20,43,1/3/18
244,04:04,4,4,1/4/18
709,11:49,11,49,1/5/18
232,03:52,3,52,1/6/18
250,04:10,4,10,1/7/18
865,14:25,14,25,1/8/18
280,04:40,4,40,1/9/18
1114,18:34,18,34,1/10/18
691,11:31,11,31,1/11/18
126,02:06,2,6,1/12/18
153,02:33,2,33,1/13/18
228,03:48,3,48,1/14/18
877,14:37,14,37,1/15/18
1091,18:11,18,11,1/16/18
175,02:55,2,55,1/17/18
1392,23:12,23,12,1/18/18
23,00:23,0,23,1/19/18
1200,20:00,20,0,1/20/18
361,06:01,6,1,1/21/18
1308,21:48,21,48,1/22/18
591,09:51,9,51,1/23/18
822,13:42,13,42,1/24/18
90,01:30,1,30,1/25/18
319,05:19,5,19,1/26/18
248,04:08,4,8,1/27/18
697,11:37,11,37,1/28/18
211,03:31,3,31,1/29/18
1258,20:58,20,58,1/30/18
659,10:59,10,59,1/31/18
1401,23:21,23,21,2/1/18
1227,20:27,20,27,2/2/18
1117,18:37,18,37,2/3/18
1244,20:44,20,44,2/4/18
553,09:13,9,13,2/5/18
172,02:52,2,52,2/6/18
794,13:14,13,14,2/7/18
340,05:40,5,40,2/8/18
588,09:48,9,48,2/9/18
196,03:16,3,16,2/10/18
92,01:32,1,32,2/11/18
357,05:57,5,57,2/12/18
1167,19:27,19,27,2/13/18
8,00:08,0,8,2/14/18
108,01:48,1,48,2/15/18
1096,18:16,18,16,2/16/18
1128,18:48,18,48,2/17/18
987,16:27,16,27,2/18/18
1439,23:59,23,59,2/19/18
1349,22:29,22,29,2/20/18
976,16:16,16,16,2/21/18
585,09:45,9,45,2/22/18
1426,23:46,23,46,2/23/18
866,14:26,14,26,2/24/18
1037,17:17,17,17,2/25/18
815,13:35,13,35,2/26/18
1083,18:03,18,3,2/27/18
983,16:23,16,23,2/28/18
584,09:44,9,44,3/1/18
1378,22:58,22,58,3/2/18
45,00:45,0,45,3/3/18
501,08:21,8,21,3/4/18
202,03:22,3,22,3/5/18
1196,19:56,19,56,3/6/18
100,01:40,1,40,3/7/18
1118,18:38,18,38,3/8/18
