"","subjectID","StartDate","LocationLatitude","LocationLongitude","gender","age","education","ethnicity","father_education","mother_education","marital_status","employment_status","children_1","income","parents_income","net_worth","parents_net_worth","housing_status","macarthur_sss","macarthur_sss_parent","job","accomplishments","weight","height","bmi","sat_score","gre_score_verbal","gre_score_quant","gpa_highschool","gpa_undergrad"
"1",1,"2021-10-21 12:52:22","12.9633941650390625","77.58551025390625","Female","20","High school degree or equivalent (e.g. GED)","American Indian or Alaska Native","Doctorate or professional degree (e.g. MD, DDS, PhD)","High school degree or equivalent (e.g. GED)","Single (never married)","Student","0","Less than $10,000","Less than $10,000","$10,000 to $19,999",NA,"Rent","8","6","student","finished a marathon","160",172.72,24.3787842089682,NA,NA,NA,"11",NA
"2",2,"2021-10-21 12:51:24","43.795196533203125","-79.266998291015625","Male","18","High school degree or equivalent (e.g. GED)","Other","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","$40,000 to $49,999","$40,000 to $49,999","$40,000 to $49,999","$40,000 to $49,999","Live with family","5","3","Student","valedictorian, had my writing published multiple times, formed a band and released our first EP, got my G2 license","130",167.64,21.026421550297,NA,NA,NA,"12",NA
"3",3,"2021-10-21 12:41:20","43.665496826171875","-79.42040252685546875","Female","19","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$50,000 to $59,999","Less than $10,000","$100,000 to $149,999","Rent","6","7","student","university scholar","132",160.02,23.4316417234497,NA,NA,NA,"13",NA
"4",4,"2021-10-21 12:44:29","43.665496826171875","-79.42040252685546875","Female","21","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Some college, no degree","Single (never married)","Employed part time (up to 39 hours per week)","0","$10,000 to $19,999","$20,000 to $29,999","$20,000 to $29,999",NA,"Live with family","7","4","Student and library employee","becoming independent","100",152.4,19.5707462121995,NA,NA,NA,"13",NA
"5",5,"2021-10-21 12:42:04","47.57000732421875","-52.78099822998046875","Female","18","High school degree or equivalent (e.g. GED)","Asian","Less than a high school diploma","Less than a high school diploma","Single (never married)","Student","0","Less than $10,000","$80,000 to $89,999","Less than $10,000","$80,000 to $89,999","Live with family","5","4","student","MVP for sports team during High School, Being a member in Junior Achievement, and getting into university.","130",165.1,21.6783650350517,NA,NA,NA,"12",NA
"6",6,"2021-10-21 12:51:57","49.817901611328125","-97.15350341796875","Male","18","High school degree or equivalent (e.g. GED)","Asian","Doctorate or professional degree (e.g. MD, DDS, PhD)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$50,000 to $59,999","Less than $10,000","$20,000 to $29,999","Live with family","4","3","Student",NA,"133",172.72,20.2648643737048,NA,NA,NA,"12",NA
"7",7,"2021-10-21 12:50:45","49.1616973876953125","-123.1750030517578125","Female","19","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","$10,000 to $19,999",NA,"$30,000 to $39,999",NA,"Live with family","7","8","Student and employee at a food court restaurant","Graduated high school with honours, got a job, was accepted into a good university","125",165.1,20.8445817644728,NA,NA,NA,"11",NA
"8",8,"2021-10-21 12:43:34","43.6638031005859375","-79.39990234375","Female","18","High school degree or equivalent (e.g. GED)","Black or African American","Doctorate or professional degree (e.g. MD, DDS, PhD)","Doctorate or professional degree (e.g. MD, DDS, PhD)","Single (never married)","Student","0","Less than $10,000","$80,000 to $89,999","$10,000 to $19,999","$1 million to $2 million","Rent","5","6","Student","getting into university, graduating high school with honours compliment","108",157.48,19.7947609971466,NA,NA,NA,"13",NA
"9",9,"2021-10-21 13:15:32","31.5821990966796875","74.329193115234375","Female","19","High school degree or equivalent (e.g. GED)","Other","High school degree or equivalent (e.g. GED)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$10,000 to $19,999","Less than $10,000","$20,000 to $29,999","Live with family","5","6","full time student","getting into my dream university","105",160.02,18.6388059163805,"1400",NA,NA,"13",NA
"10",10,"2021-10-21 12:58:49","43.665496826171875","-79.42040252685546875","Male","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$10,000 to $19,999","$10,000 to $19,999","$100,000 to $149,999","Rent","4","5","student","studies","123",149.86,24.8949337051478,NA,NA,NA,"13",NA
